profile_pic,username,date,comment
cacasilva_0609's profile picture,cacasilva_0609,168w,Aduhhhh sayangnya akuu????
dkjydn's profile picture,dkjydn,175w,Aku lebih capek sie nunggu dia peka....ikhlas g bisa sie jd gmn yea [hihi]
putrioktaviani31's profile picture,putrioktaviani31,174w,Aku sarapannyaaa cukup lihat senyuman kamuuu saja sudahhh kenyanggg??
ichanisaaa___'s profile picture,ichanisaaa___,174w,Aku selalu percaya sama kamuuuu??
ithak_desi's profile picture,ithak_desi,173w,Apakah kamu tidak rindu saih minimu @saaihalilintar
sembiring3704's profile picture,sembiring3704,173w,Arsyaa so cute ??????
qodieyrulkadieyr's profile picture,qodieyrulkadieyr,173w,Arsyaaa ??????
salisaaa_____'s profile picture,salisaaa_____,174w,Ashiaaaappp??
salahobattt's profile picture,salahobattt,174w,ashiap.
laura_salbila123's profile picture,laura_salbila123,174w,Assalamu'alaikum.Bener bngt bang dan berusahalah menjadi lebih baik lgi dari sebelumnya krna disitulah kita tau kesalahan kita dan kita akan mengerti apa arti sbuah makna dari kehidupan bnyk org yng tdk mencoba kesalahan kesalahan yng dia pernah lakukan tanpa org itu sadari dgn sendirinya.????
cindy_khaled90's profile picture,cindy_khaled90,174w,Astaga saih ??
pearlgum_'s profile picture,pearlgum_,174w,Astagaa bang
zyraosman's profile picture,zyraosman,174w,astagfirullah ??
muntaz.mv's profile picture,muntaz.mv,174w,Au ah
ichanisaa_156's profile picture,ichanisaa_156,175w,auk ah capek ??
ssn209's profile picture,ssn209,174w,Auratnya bang????
zhwa.nnda's profile picture,zhwa.nnda,174w,aurora nya bang!! ??
safnabidoex84's profile picture,safnabidoex84,174w,Auto ngakak??????????ada2 aja ya kelakuan??????
thorjid.halilintar's profile picture,thorjid.halilintar,174w,"Awali pagi dengan buka mata bang, kalo mejem trus ntar nabrak"
adindanurusadiah's profile picture,adindanurusadiah,174w,Azekkkkkkkkk
adindanurusadiah's profile picture,adindanurusadiah,174w,Azekkkkkkkkk
danesyaaqueenaathaya's profile picture,danesyaaqueenaathaya,174w,Bagus aj
s.y_s04's profile picture,s.y_s04,174w,Bang ????
_ra_593's profile picture,_ra_593,175w,"Bang anak bang saiih yg di Indonesia , si Mansyur gimana kabar nya ni , kangen bang saiih sama baby el ??"
siapa_ajalahh_'s profile picture,siapa_ajalahh_,174w,Bang buat q&a prank lagi dong
lisa.andriyani.thv's profile picture,lisa.andriyani.thv,174w,Bang ganteng benerr dahhh????
ega_rsttt's profile picture,ega_rsttt,175w,Bang lopyu bang ihhhh!
dna_fth23's profile picture,dna_fth23,174w,Bang pliss bls dm?
desyyef's profile picture,desyyef,173w,"Bang Saaih Jgn rinduu, soalnya kata Dilan rindu itu berat??????"
desyyef's profile picture,desyyef,173w,"Bang Saaih Jgn rinduu, soalnya kata Dilan rindu itu berat??????"
khafifah_tf's profile picture,khafifah_tf,173w,"Bang saaih kangen ade ya,,,??????"
rianidesiyanti_1229's profile picture,rianidesiyanti_1229,175w,Bang saaih kenapa lucu?:)
fatimbesties_kawai's profile picture,fatimbesties_kawai,175w,BANG SAAIH??
mahmudzuchail's profile picture,mahmudzuchail,174w,Bang saaih.
mahmudzuchail's profile picture,mahmudzuchail,174w,Bang saaih...baca DM qu dong
al.kna_'s profile picture,al.kna_,174w,bang saih aurat jangan bikin geraaah dong ??
nabila_bsy's profile picture,nabila_bsy,174w,Bang saiiihhhhh... Sapa aku dong??
dylazz1__'s profile picture,dylazz1__,174w,Benar apa bnr panik ngak
meita.nur.5's profile picture,meita.nur.5,174w,Benar tu pinterrrr????????
j.hanum's profile picture,j.hanum,174w,Bener
fatehsmooth's profile picture,fatehsmooth,174w,"bener bang mending sarapan deh, udah pasti mengenyangkan ??"
puanarrifa's profile picture,puanarrifa,174w,bener juga
icamaylani_'s profile picture,icamaylani_,174w,bener jugakkk
indah_rasnawati.ar's profile picture,indah_rasnawati.ar,174w,Betul...??????
pearlgum_'s profile picture,pearlgum_,174w,Betullll
tita7580's profile picture,tita7580,174w,Betuuuul sekali eh...ci ganteng
lenym11's profile picture,lenym11,175w,"Bg, saya shalawatin boleh"
nurhafizahmail1999's profile picture,nurhafizahmail1999,174w,Bila buat video lagi saaih
fatehblack_'s profile picture,fatehblack_,174w,Bingung mau komen paan
mahmudahzahrai_14's profile picture,mahmudahzahrai_14,174w,Blom pernah di sapa??
serkan.ys's profile picture,serkan.ys,174w,Bond James Bond ??
chavadoozgfthv's profile picture,chavadoozgfthv,175w,Boy in Blackkk????
ennottice's profile picture,ennottice,175w,Btw ikhlas nma almrhm bapak gw????
raudienaaisyd's profile picture,raudienaaisyd,174w,"Bukan kebelah kayanya, tapi terpisah??"
fiiningsih's profile picture,fiiningsih,174w,Cakeeppp
telyaseptianidewi_'s profile picture,telyaseptianidewi_,174w,Cakep ??
aulia_19t02's profile picture,aulia_19t02,174w,Cakep banget pemandangan nya
ndombelll_'s profile picture,ndombelll_,174w,Cakeppp bgt ??
ghs.myfamily_'s profile picture,ghs.myfamily_,175w,CAPE BENERRR BANGG????
snydi_11's profile picture,snydi_11,175w,Capek nya jadi ikhlas gk bang ???
pearlgum_'s profile picture,pearlgum_,175w,Caption agak melenceng ya??????
dewi_agni16's profile picture,dewi_agni16,175w,Caption bang saaih selalu bikin bengek????????
stiya_'s profile picture,stiya_,175w,caption nya dari kmrn bikin ngkk????
lishaaa.season's profile picture,lishaaa.season,175w,caption nya kenapasi??
sa_elsa25's profile picture,sa_elsa25,174w,Captnya skrng quotes ya ??
sajidahamv's profile picture,sajidahamv,174w,cepatt ambil hp bang saaihh!!
s.y_s04's profile picture,s.y_s04,174w,Coba belah
nuri.sholihah's profile picture,nuri.sholihah,174w,Ctrl+C and Ctrl+P
s.dwiandini9's profile picture,s.dwiandini9,173w,cu bgt????
ghinashaf_'s profile picture,ghinashaf_,173w,Cuamat??
iaspermana's profile picture,iaspermana,174w,"Cukup semangka aj yg di belah, gosah mata ngab.."
azzalfaselvia's profile picture,azzalfaselvia,173w,"Cute????????,"
okacanbunda's profile picture,okacanbunda,175w,"Damage Parahh ??????� aku ada anak gadis, kenalan yuuu bisa yuuu ??????"
parishisyl's profile picture,parishisyl,175w,Demikian lah cerita si ikhlas Dan si capek ???????????? *ngelawakbae nih si om..
alifanjla's profile picture,alifanjla,174w,Di rmh aku gaada yg sixspak ada nya onespak
fatqahh_'s profile picture,fatqahh_,174w,Disana pagi disini magrib :)
syifa_muntaztic's profile picture,syifa_muntaztic,174w,Disini udah sore bahkan udah mau malam:(
muslikanasa's profile picture,muslikanasa,173w,Diulang2 jd ngakak????
xyaulzp____'s profile picture,xyaulzp____,174w,Duhh jagoannya kak mputtt wkwkwkwkkwk @putrioktaviani31
nina_eraw's profile picture,nina_eraw,175w,E laaah...baaang????
citra___chiko.94's profile picture,citra___chiko.94,173w,"Eh itu adek ku, bkn paket mu??????"
adindanurusadiah's profile picture,adindanurusadiah,175w,Ehhhhh gimana gimanaaa??? Saaih lagi ngapaa weeiiii dari kmren captionnya bikin ngakak ?
lailatul_2310's profile picture,lailatul_2310,174w,Emmmm @saydin.art 
dtikasya's profile picture,dtikasya,175w,G gitu jg konsepny heh??
keepyournovi's profile picture,keepyournovi,174w,ga gitu juga bang??
keepyournovi's profile picture,keepyournovi,175w,ga gitu juga konsepnya bang??
cjisea's profile picture,cjisea,174w,ga gitu konsepnya ??????
rzkyaprillani's profile picture,rzkyaprillani,174w,GA GITU KONSEPNYAA
fajri.ape's profile picture,fajri.ape,174w,Ga gt sayang
sasquad.16's profile picture,sasquad.16,174w,Ga ngertiii lagi keren banget??
chavadoozgfthv's profile picture,chavadoozgfthv,174w,"Ga percaya ah, soalnya comment aja gadibales gmb mau percaya????"
lnstlestari23's profile picture,lnstlestari23,174w,Ga percaya soalnya ga ada bukti?? kalo mau ngasih bukti di dm aja biar lanjut??
alisterflse's profile picture,alisterflse,174w,Gagitu anying
dnnvt_06's profile picture,dnnvt_06,174w,Gak gtu jga sih bang??
bbyaanor's profile picture,bbyaanor,174w,Gak percaya kalo gak ada buktinya ????
snydi_11's profile picture,snydi_11,174w,Gak tau mau ngomenn apa bang:v
cantipsaya's profile picture,cantipsaya,175w,Ganteeeng tulen dirimuu
dikaaaaaaaf's profile picture,dikaaaaaaaf,175w,GANTENG BANGET LOH
saaihfatehalilintar's profile picture,saaihfatehalilintar,175w,Ganteng banget loh GBL!!!GBL!!!!GBL!!! @saaihalilintar ????
kikydwiynti_'s profile picture,kikydwiynti_,174w,Ganteng bnget ci kmuuu
anie2308's profile picture,anie2308,173w,Ganteng si sai mah
bundaroitom's profile picture,bundaroitom,174w,Gantengnya kk ??
endelldiyajeng's profile picture,endelldiyajeng,174w,Gantenng ihhhh
hnxpobys's profile picture,hnxpobys,175w,Garing Deck
nissafazz's profile picture,nissafazz,174w,Gayanya napasiii????
marwialstlhu's profile picture,marwialstlhu,174w,GBL GBL GBL Ganteng Banget Loh????
yunisaras83's profile picture,yunisaras83,174w,gememsh????
crmlz_'s profile picture,crmlz_,173w,gemesshhh
alyazafa's profile picture,alyazafa,173w,Gemesss banget adeek??????
kyllaaprilia's profile picture,kyllaaprilia,174w,Gemoy??
kyllaaprilia's profile picture,kyllaaprilia,174w,Gemoy??
imblackpurple's profile picture,imblackpurple,173w,Gemoyyynaaaaaa ??
welmiafionita3765's profile picture,welmiafionita3765,173w,Gen halilintar pulang donk ke indonesia ????
halimahabidin's profile picture,halimahabidin,174w,"GG kali captionnya akhir-akhir ini, pasti ngutip dari jokes BA-PACK� ??"
baldysquad's profile picture,baldysquad,174w,Gimana ya jawabnya...
mhymhyrahh_3005's profile picture,mhymhyrahh_3005,174w,Gimana.. gimana.. gimana????????
qahtanloaff's profile picture,qahtanloaff,174w,Goodmorning disana goodnight disini :D
angggrnnnn__'s profile picture,angggrnnnn__,173w,Gua malah rindu lu bang??
de_asty03's profile picture,de_asty03,173w,Gumusss eunggg
xrbsn_'s profile picture,xrbsn_,174w,Ha ha
sasquadssh's profile picture,sasquadssh,173w,Haaaaa gemoi
ayislm's profile picture,ayislm,174w,HAHAHAH
hanisajul's profile picture,hanisajul,174w,Hahahahah
theylluv.07's profile picture,theylluv.07,175w,Hahh gmn caption nya????
lyvfah_'s profile picture,lyvfah_,174w,HAHHAHAHAHHA??
in.da344's profile picture,in.da344,173w,"Hallo sasquat,,sehat selalu untuk bng saaih sama keluarga genhalilintar ????"
in.da344's profile picture,in.da344,173w,"Hallo sasquat,,sehat selalu untuk bng saaih sama keluarga genhalilintar ????"
salindri12's profile picture,salindri12,175w,Halo bang saaih
ayu_elbetan's profile picture,ayu_elbetan,175w,Hati2 jatuh suamiku ??
ndiahptri24_'s profile picture,ndiahptri24_,175w,Hati� Ntar Jatooh??
riki_niya's profile picture,riki_niya,175w,Heh bang saaih ini stiap postingan ny caption nya ngadi� smua??????
nilawarlina's profile picture,nilawarlina,174w,Hemmm
straw.wss's profile picture,straw.wss,174w,Hm
canteek_selalu's profile picture,canteek_selalu,173w,https://msha.ke/canteek_selalu/
muhammadnasrullohmaududo's profile picture,muhammadnasrullohmaududo,174w,https://www.instagram.com/p/CXm8wJrLAkv/?utm_medium=copy_link
hambafakir23's profile picture,hambafakir23,174w,I admire you especially your recitation of the Qur'an ?? @saaihalilintar
elissetyaningrum's profile picture,elissetyaningrum,173w,Ichhhhhh lucu .gemez????
amahey.makeup's profile picture,amahey.makeup,174w,Idola ku sesudah nabi Muhammad ??
dhialutfiahhh's profile picture,dhialutfiahhh,173w,Ihh ucoll
putriitarii_74's profile picture,putriitarii_74,174w,Iiii??
indratrois's profile picture,indratrois,174w,Ini kah yang di namakan badan dengan bentuk roti dan di nama kan otot Transformer.. dengan gaya hijaber
intanna921's profile picture,intanna921,174w,Itu knp gitu bang??
al_bariy99's profile picture,al_bariy99,174w,Iya bener banget??
alfrdchyn's profile picture,alfrdchyn,175w,Iya bep
moonxysii_'s profile picture,moonxysii_,174w,Iya deh bang iyaa?????
alyanrmzzhra's profile picture,alyanrmzzhra,174w,Iya deh??
riarachmah_'s profile picture,riarachmah_,175w,"Iya juga ya,, trus gimana dong? Ikhlas ga usah diajak aja"
wigizaga's profile picture,wigizaga,174w,"iya percaya, soalnya tatapan mu bisa membelah hatiku"
sasquadssh's profile picture,sasquadssh,174w,Iya percayalah
prissyntaa's profile picture,prissyntaa,175w,iyain aja??
nanapsmb's profile picture,nanapsmb,175w,izzy
theislamic_vibez's profile picture,theislamic_vibez,175w,Jadi konsep kerja tuu gimaneee bambangggg ?? mau jungkir balik aja rasanya ???????
nikmah_zaita's profile picture,nikmah_zaita,175w,Jadi lumayan ya beban kita krn dibantu ikhlas
jqq_corp99's profile picture,jqq_corp99,174w,jadikan hobimu menjadi sumber rejeki @kicauqq_official_poker
mumeyyyyyz's profile picture,mumeyyyyyz,174w,Jaga Aurora mu y.
ciciayby's profile picture,ciciayby,174w,Jaga auroranya y gtng
annisa_sasquad25's profile picture,annisa_sasquad25,174w,Jangan kan mata mu yg bisa belah hati ku juga bisa beah karna selalu ada di saat kamu butuh????
ftmhynrt_'s profile picture,ftmhynrt_,174w,"Jangan mengulang kesalahan yang sama , mari membuat kesalahn baru ok good game"
dpfsg.v's profile picture,dpfsg.v,174w,jgn membelah hati ya nnti hatiku kek gini??
aulkarinnn's profile picture,aulkarinnn,174w,jodohku ??
raarubyyj.m's profile picture,raarubyyj.m,175w,"jokes nya agak gelap,btw udah lama saya g komen ya"
sasquadssh's profile picture,sasquadssh,174w,Kalau aku pagi sarapan nya melihat senyuman anak bayi yang gk pernah bohong meski liat di hp dan bukan anak saya tapi saya tetap sayang sama anak nya meskipun bukan anak saya ??
syifa_muntaztic's profile picture,syifa_muntaztic,174w,"Kalau di kasih senyuman sama kamu ,aku mah jam 10 belum laper"
andihusnul.21's profile picture,andihusnul.21,174w,Kalau ngomong suka bener
soasik_yee's profile picture,soasik_yee,175w,Kalo dia sama yang lain masa harus ikhlas juga???
thorjid.halilintar's profile picture,thorjid.halilintar,175w,"Kalo ikhlas berarti jangan minta balas budi, kan mintanya ke ikhlas kenapa balasnya ke budi?"
sela8177's profile picture,sela8177,173w,Kalo kamu tidak rindu sama aku....????
zazkhiyahsbrn03's profile picture,zazkhiyahsbrn03,172w,"kalo kita berjodoh, seru deh"
nurtia_rn's profile picture,nurtia_rn,175w,Kalo sesuatu dilakukan secara ikhlas kamu bakalan merasa bahagia setelah nya??
arhiza_zha's profile picture,arhiza_zha,173w,Kangen baby El gk kak ??
putrisyzrh's profile picture,putrisyzrh,173w,Kangen kamu ngonten??
adnyms__'s profile picture,adnyms__,174w,"kangenn kamu, sini ke lampung, aku tunggu di rumah ya:))"
adnyms__'s profile picture,adnyms__,174w,"kangenn kamu, sini ke lampung, aku tunggu di rumah ya:))"
nonaindah67's profile picture,nonaindah67,174w,Kapan bikin konten lagi
khrnvv's profile picture,khrnvv,175w,Kasian ikhlas??
jasmne.e's profile picture,jasmne.e,175w,Kasian si ikhlas ga ad salah
khansareswra's profile picture,khansareswra,175w,"Kasihan ikhlas, pasti dia capek"
bunda_cintafabio's profile picture,bunda_cintafabio,175w,Kasihan ikhlas??????
kumbangeshe's profile picture,kumbangeshe,174w,Kayak syal mamanur.. @aurelie.hermansyah
straw.wss's profile picture,straw.wss,175w,Kece
rranisetiawtii's profile picture,rranisetiawtii,174w,kek thor tpi bukan thariq
rosiinurfadilah_13's profile picture,rosiinurfadilah_13,174w,Kenapa sii? Ada masalah? Sini cerita????
sasquadssh's profile picture,sasquadssh,174w,Kenapa yah aku suka sama awan nya bagus banget maa syaa allah
sasquadssh's profile picture,sasquadssh,173w,Kenapa yah melihat seorang laki-laki yang benar benar suka sama anak kecil tulus sama anak kecil itu buat ku laki laki hebat @saaihalilintar
sasquadssh's profile picture,sasquadssh,173w,Kenapa yah melihat seorang laki-laki yang benar benar suka sama anak kecil tulus sama anak kecil itu buat ku laki laki hebat @saaihalilintar
astriaamarbun's profile picture,astriaamarbun,175w,Keren banget sih??
in.da344's profile picture,in.da344,174w,Keren bngt??
desita_aynd's profile picture,desita_aynd,174w,Keren??
rizkyiindra_'s profile picture,rizkyiindra_,174w,kerennn banggg
qahtanloaff's profile picture,qahtanloaff,174w,Kesalahan apatu yang blom bang
ghstarss11's profile picture,ghstarss11,174w,Kesalahan seperti apa tu contoh nya yang masih perlu di coba Bang??
aulkarinnn's profile picture,aulkarinnn,175w,kgn km????
arme_88's profile picture,arme_88,173w,KIRAIN SAIH SE COOL ITU TERNYATA BISA DEKET AMA ANAK KECIL?? LIAT DI IGS SAMA YUTUP JG SERING BECANDAIN BUNDA ??????
febyayuarika14's profile picture,febyayuarika14,174w,Kirin bigit cii jodoh org??
rzkyaprillani's profile picture,rzkyaprillani,174w,klo laper mau dibikinin apaa nich?
rzkyaprillani's profile picture,rzkyaprillani,174w,klo laper ya aku buatin makanan lg
reni_puya's profile picture,reni_puya,174w,"Kok jokes nya udah mulai kaya bapack"" yaaa ??"
chelseaaprillia_'s profile picture,chelseaaprillia_,174w,korban melodylan ????
dewi.shop_1's profile picture,dewi.shop_1,174w,Kpn upload YouTube??
ummu_nadaaa's profile picture,ummu_nadaaa,175w,Ku kira bang thariq
attahalilintar's profile picture,attahalilintar,174w,kumat lagi
agzlours's profile picture,agzlours,173w,Kyk bapakk amaa anakk ae bg ??
moonxysii_'s profile picture,moonxysii_,174w,Lah kok cakep sih????
rofiqahidayatulparisma_'s profile picture,rofiqahidayatulparisma_,175w,Lakkiiii gueee nii
nurjuchriaumrinst's profile picture,nurjuchriaumrinst,173w,Lengket banget @arsya.hermansyah sama @saaihalilintar ihhh lucuuuu gemes ????
shellaa.fn's profile picture,shellaa.fn,174w,Lirik sini dong:(
tikaa.kurnia's profile picture,tikaa.kurnia,173w,Ll
awwuumm_'s profile picture,awwuumm_,175w,Lucu bgt smpe aku ngga ketawa??
lamerangkai's profile picture,lamerangkai,173w,Lucu bgtt adekk arsyaa????
zkytnssa_'s profile picture,zkytnssa_,173w,lucuk bgttt cccc????
zikalestari_mz's profile picture,zikalestari_mz,175w,"Maa Syaa Allah, turun beb nanti jatohhhh"
nnloviee's profile picture,nnloviee,174w,Maap ngakak ????
kimna_dira's profile picture,kimna_dira,175w,MAKA AKAN MENJADI COBAAN SEMATA??
its_leonard000's profile picture,its_leonard000,174w,Maka nya jangab terlalu ikhlas ya
dylazz1__'s profile picture,dylazz1__,174w,Mantap ??????????
ketupatkering007's profile picture,ketupatkering007,174w,mantap sekali ayatnya ???????? cakepp ??
ayu_elbetan's profile picture,ayu_elbetan,174w,Mantulll??
bin2dhirg's profile picture,bin2dhirg,174w,Markicob... #eh ??
aetifamily74's profile picture,aetifamily74,173w,Masya Allah iLOVIT??????
dwikkk1708's profile picture,dwikkk1708,174w,Masyaallah
dwikkk1708's profile picture,dwikkk1708,175w,Masyaallah
rahayu.ahha.hkg's profile picture,rahayu.ahha.hkg,173w,MasyaAllah gemoy Arsya????
dwikkk1708's profile picture,dwikkk1708,174w,Masyaallah keren banget??
nissafazz's profile picture,nissafazz,174w,Masyaallah suamikuuuuuuu??????
jennairaastra's profile picture,jennairaastra,174w,Masyaallah terlalu masyaallah bangggg kok bisa ganteng banget??
rahma_azahra01's profile picture,rahma_azahra01,174w,Mata aja bisa kamu belah apa lagi hati ku??
lisna_opanyusuf's profile picture,lisna_opanyusuf,174w,Mata Saaih bisa membelah hati Sasquad????????????
qianmeizzufikring_27's profile picture,qianmeizzufikring_27,173w,Mau kemana kk?
fitriomahaja's profile picture,fitriomahaja,174w,Mau komen tapi tidak tahu mau nulis apa??@saaihalilintar
sela8177's profile picture,sela8177,174w,"Membela apa,????"
salisaaa_____'s profile picture,salisaaa_____,174w,Membelah apa???
unicorncutiestore's profile picture,unicorncutiestore,174w,Membelah apani?membelah lautan?
syafhaatul_'s profile picture,syafhaatul_,174w,Membelah buah ??
melani_amell's profile picture,melani_amell,174w,Membelah cinta kita ber 2????
snydi_11's profile picture,snydi_11,174w,Membelah hate maksudnya????
ratulistyy's profile picture,ratulistyy,174w,Membelah hati ku ya bang??????
nazzz.raaa's profile picture,nazzz.raaa,174w,Membelah hati saya juga bisa kann??
salahobattt's profile picture,salahobattt,174w,membelah hati.ihiw.
onelvlyaaa_'s profile picture,onelvlyaaa_,174w,Membelah hatiku??
tiarafebriliani's profile picture,tiarafebriliani,174w,Membelah hatikuuu ? ????
rofiqahidayatulparisma_'s profile picture,rofiqahidayatulparisma_,174w,Membelah hatiqueh
intanneynp's profile picture,intanneynp,174w,membelah?kamu jelmaan cicak ya?
ramadhani_pky's profile picture,ramadhani_pky,174w,Mencintaiku bkn kesalahan kan?
nissa_2942's profile picture,nissa_2942,175w,Mengcape sama captionya tapi gpp kan aku liat km jadinya gk cape ????
_urfav.zz's profile picture,_urfav.zz,175w,Menjadi sosok pengagum saaih itu terkadng capek terlalu banyak menghayal Dan ketika di suatu saat nanti updatean saaih sama cewek lain terpaksa meng ikhlaskan @saaihalilintar
meiliaaaa_n's profile picture,meiliaaaa_n,174w,minta pin bb dong kak
ysika_rst29's profile picture,ysika_rst29,174w,mirip abg thoriq
44nd1nn's profile picture,44nd1nn,175w,Mirip bang Thariq
thorjid.halilintar's profile picture,thorjid.halilintar,175w,MJ?
fitriana5497's profile picture,fitriana5497,174w,Mohon bantuannya ka @saaihalilintar .... https://benihbaik.com/campaign/beasiswa-untuk-syaqila-balqis
nurindah0929's profile picture,nurindah0929,175w,"My dream umi,my dream umi??????????@genifaruk @genhalilintar"
rhmaacass's profile picture,rhmaacass,173w,my gucciboy
kusumadewiice's profile picture,kusumadewiice,175w,Naksir deh ama shaii
ranirandau's profile picture,ranirandau,175w,Never fail ????
bthymlnas_'s profile picture,bthymlnas_,174w,Ngab??
khykisalam's profile picture,khykisalam,174w,Ngakak??????
ari.ramadani39's profile picture,ari.ramadani39,174w,nggak gitu juga konsepnya ngab
tpq_an_nafii's profile picture,tpq_an_nafii,174w,Ngok amat si bang.. gemes
nauvalard_'s profile picture,nauvalard_,174w,Ngonten youtub bng
salisaaa_____'s profile picture,salisaaa_____,175w,Nice caption??
dzikrinafa's profile picture,dzikrinafa,175w,Oh jadi ikhlas itu nama orang ta? ??
putrioktaviani31's profile picture,putrioktaviani31,174w,Ok
xrsa_mlida's profile picture,xrsa_mlida,174w,Ok bang
theislamic_vibez's profile picture,theislamic_vibez,175w,Ok konsep kerja sy maren salah teman-teman . Bapak ini terlalu random pemikirannyaa?????? Di tunggu bgt caption MIKIR berikutnya ye ???????
ifa.aliyah's profile picture,ifa.aliyah,174w,Ok..lu kocak botak jomblo ????
sfixsfi_'s profile picture,sfixsfi_,174w,Oke
andinaqiyyah.an's profile picture,andinaqiyyah.an,174w,Oke bang
fatehsmooth's profile picture,fatehsmooth,174w,okeh
inayah3_1505's profile picture,inayah3_1505,174w,"Okehh ,ya jugaa ya tapi gimana ya??"
secretbayangan's profile picture,secretbayangan,173w,omg so cute!!!
nauranafiza05's profile picture,nauranafiza05,173w,Omg!!!!cute bangeh arsya ??@arsya.hermansyah
zziiilll_'s profile picture,zziiilll_,174w,p
aulkarinnn's profile picture,aulkarinnn,174w,pacarku??
nengetta09's profile picture,nengetta09,173w,Paha nya masuk tapi badannya kagak??
dewisrtk_01's profile picture,dewisrtk_01,174w,Parah~
putriialissaa's profile picture,putriialissaa,174w,Pengen di sapa sama bang saaih
hii_moen's profile picture,hii_moen,175w,Pengen ngakak takut dosa
laninurafiah's profile picture,laninurafiah,174w,Percaya ay??????
ghstarss11's profile picture,ghstarss11,174w,Percaya bang. Buktinya hatiku sudah terbelah ??
fatehsmooth's profile picture,fatehsmooth,174w,percaya deh soalnya apa si yg bang saaih gabisa??
_ulfakn's profile picture,_ulfakn,174w,"Percaya dong, kan membelah hati ku????????"
iamsyilfa_'s profile picture,iamsyilfa_,174w,Percaya membelah untukku ????
sitti_nurhidayahh's profile picture,sitti_nurhidayahh,174w,Percaya ngak percaya sihh??
sinta.alisiya's profile picture,sinta.alisiya,174w,percaya sama bang Saaih kaya nya sesad??.
ndyhulfaa's profile picture,ndyhulfaa,174w,"Percaya, hatiku jg belah gara""kamu ??"
floshop.e19's profile picture,floshop.e19,174w,Percayaaaa ??????
qahtanloaff's profile picture,qahtanloaff,174w,Percya banget dong??
meiliapremati's profile picture,meiliapremati,174w,Pinterrrr...m??
wigizaga's profile picture,wigizaga,173w,"point plus bang saaih : lembut bgt sm anak2, jd sayang??"
danuartaibnu777's profile picture,danuartaibnu777,173w,"pulang ke Indonesia kapan saaih,pasti seru ngumpul lagi,main bareng,bisnis bareng, bikin karya bareng,bikin prestasi/karya yg keren2 untuk indonesia tercinta bersama keluarga,menjadi keluarga/anak-anak panutan di negri ini,anak-anak milenial yg keren namun tetep menjunjung tinggi norma2 dan agama serta cinta tanah air,ditunggu ya saaih."
levn_v1n's profile picture,levn_v1n,173w,Qatthan terlupakan????
sasquad_indofficial's profile picture,sasquad_indofficial,173w,Rindu Mimin ga? ??
rosiinurfadilah_13's profile picture,rosiinurfadilah_13,173w,"RINDU OPENING ""BRRROOO SASQUAD WHATS POPPIN""????"
rosiinurfadilah_13's profile picture,rosiinurfadilah_13,173w,"RINDU OPENING ""BRRROOO SASQUAD WHATS POPPIN""????"
widi.agm's profile picture,widi.agm,174w,sa ae yank
nunung.nursiah.31's profile picture,nunung.nursiah.31,175w,saaih .... u r one of the kind ??
